string_id	all amino-acids	SUM(r_k*ln(r_k)) --> -H(amino-acids)	SUM(r_k*e_k)	ln(p)	cost_protein (5*n(aa))	decay	protein term (cost protein * decay)
4932.YGL008C	918.0	-2.84608180053	123.75708061	-4.92933338989	4590.0	45	206550.0
4932.YGL009C	779.0	-2.87444426149	129.472400514	-5.70843390745	3895.0	29	112955.0
4932.YGL011C	252.0	-2.85771008623	128.861111111	-8.2441124676	1260.0	73	91980.0
4932.YGL012W	473.0	-2.90772723361	188.864693446	-9.27761769893	2365.0	198	468270.0
4932.YGL014W	888.0	-2.84655554222	135.17454955	-8.90823374477	4440.0	22	97680.0
4932.YGL016W	1081.0	-2.85247843243	141.296947271	-9.31158207581	5405.0	80	432400.0
4932.YGL017W	503.0	-2.92010777642	162.071570576	-12.7804107882	2515.0	443	1114145.0
4932.YGL018C	184.0	-2.81521139444	153.423913044	-11.627522085	920.0	46	42320.0
4932.YGL019W	278.0	-2.87485323188	157.431654676	-9.94536876179	1390.0	17	23630.0
4932.YGL020C	235.0	-2.83337591511	155.625531915	-9.74571724008	1175.0	18	21150.0
4932.YGL021W	760.0	-2.78011523638	139.632894737	-12.2058306823	3800.0	184	699200.0
4932.YGL022W	718.0	-2.86411878995	144.711699164	-8.59114156683	3590.0	19	68210.0
4932.YGL025C	397.0	-2.75547469695	128.19395466	-11.379370584	1985.0	21	41685.0
4932.YGL026C	707.0	-2.85182351643	121.717114569	-6.49705349361	3535.0	29	102515.0
4932.YGL027C	833.0	-2.90252551427	148.804321728	-9.99526667228	4165.0	31	129115.0
4932.YGL028C	542.0	-2.64164901395	110.483394834	-10.0065432624	2710.0	-242	-655820.0
4932.YGL030W	105.0	-2.66970792384	112.123809524	-8.28217709005	525.0	146	76650.0
4932.YGL031C	155.0	-2.62054065116	124.187096774	-6.68631462736	775.0	113	87575.0
4932.YGL035C	504.0	-2.755656768	126.753968254	-10.5861374749	2520.0	35	88200.0
4932.YGL036W	909.0	-2.78849583638	135.567656766	-13.4039848454	4545.0	6	27270.0
4932.YGL037C	216.0	-2.87806085965	165.824074074	-8.57537498089	1080.0	-97	-104760.0
4932.YGL038C	480.0	-2.85872458197	146.977083334	-10.1405364582	2400.0	6	14400.0
4932.YGL039W	348.0	-2.83095436099	135.158045977	-10.8041698522	1740.0	30	52200.0
4932.YGL040C	342.0	-2.86144141245	132.125730994	-8.9056762178	1710.0	-96	-164160.0
4932.YGL043W	309.0	-2.83573181792	149.676375404	-9.63214074904	1545.0	184	284280.0
4932.YGL044C	296.0	-2.80032560695	124.25	-12.0255170145	1480.0	71	105080.0
4932.YGL045W	542.0	-2.83940434538	127.843173432	-14.001281121	2710.0	15	40650.0
4932.YGL048C	405.0	-2.81512859284	122.720987655	-8.35343497526	2025.0	36	72900.0
4932.YGL049C	914.0	-2.8525566003	136.462800876	-8.16360037105	4570.0	43	196510.0
4932.YGL050W	273.0	-2.84165723856	131.128205128	-12.792441891	1365.0	253	345345.0
4932.YGL053W	237.0	-2.88678532345	145.135021097	-12.4186577569	1185.0	79	93615.0
4932.YGL054C	138.0	-2.7479905287	145.797101449	-9.46296986924	690.0	40	27600.0
4932.YGL055W	510.0	-2.91929846993	161.229411764	-8.35972296701	2550.0	193	492150.0
4932.YGL056C	527.0	-2.79468291872	127.464895636	-9.06936029418	2635.0	63	166005.0
4932.YGL057C	287.0	-2.80651983991	131.038327526	-12.9499634897	1435.0	151	216685.0
4932.YGL058W	172.0	-2.8027431186	143.790697674	-10.1329781834	860.0	114	98040.0
4932.YGL060W	641.0	-2.8416641493	141.226209049	-10.8920889182	3205.0	45	144225.0
4932.YGL061C	247.0	-2.80174925542	130.157894737	-10.9387179642	1235.0	76	93860.0
4932.YGL062W	1178.0	-2.87008955736	123.552631579	-7.00469450676	5890.0	-345	-2032050.0
4932.YGL064C	561.0	-2.81179741639	127.048128342	-12.8445199532	2805.0	121	339405.0
4932.YGL065C	503.0	-2.86690834889	140.546719682	-10.7352181679	2515.0	20	50300.0
4932.YGL066W	657.0	-2.8049551992	134.147640792	-10.6649483695	3285.0	20	65700.0
4932.YGL067W	384.0	-2.88471821964	148.361979167	-10.6811903377	1920.0	20	38400.0
4932.YGL068W	194.0	-2.66517035128	105.922680413	-9.05358740359	970.0	59	57230.0
4932.YGL070C	122.0	-2.84611067612	168.262295082	-9.87332885886	610.0	87	53070.0
4932.YGL071W	690.0	-2.83588688198	142.613043479	-12.3289934732	3450.0	23	79350.0
4932.YGL076C	244.0	-2.78005636979	123.75	-6.63218964655	1220.0	113	137860.0
4932.YGL078C	523.0	-2.79682218039	126.910133844	-8.1815492667	2615.0	33	86295.0
4932.YGL080W	130.0	-2.83768230548	150.346153846	-11.3832093103	650.0	37	24050.0
4932.YGL082W	381.0	-2.85156664474	132.230971129	-9.88675618001	1905.0	40	76200.0
4932.YGL083W	804.0	-2.81731978479	132.143034826	-10.5466780704	4020.0	36	144720.0
4932.YGL086W	749.0	-2.70168477297	140.570093458	-11.2752644393	3745.0	24	89880.0
4932.YGL087C	137.0	-2.85778388966	148.700729927	-10.0978163628	685.0	51	34935.0
4932.YGL090W	421.0	-2.78337626599	133.593824228	-11.9783087861	2105.0	12	25260.0
4932.YGL092W	1317.0	-2.82405753988	124.301442673	-8.39438950871	6585.0	28	184380.0
4932.YGL094C	1115.0	-2.87660401275	142.822421525	-11.8895927263	5575.0	23	128225.0
4932.YGL095C	577.0	-2.83388343423	133.724436742	-10.2397375378	2885.0	68	196180.0
4932.YGL098W	245.0	-2.77140688822	123.92244898	-11.1998478909	1225.0	34	41650.0
4932.YGL099W	640.0	-2.85299132556	131.28125	-8.3732171292	3200.0	44	140800.0
4932.YGL100W	349.0	-2.86450461075	157.544412608	-11.1866902475	1745.0	72	125640.0
4932.YGL101W	215.0	-2.89050922505	162.58139535	-10.4486386891	1075.0	51	54825.0
4932.YGL107C	646.0	-2.86357005766	140.42879257	-9.30035704608	3230.0	55	177650.0
4932.YGL110C	624.0	-2.82696753019	136.415064102	-10.2002819012	3120.0	21	65520.0
4932.YGL111W	463.0	-2.81300307797	130.831533477	-9.7732410242	2315.0	48	111120.0
4932.YGL112C	516.0	-2.81624980392	119.581395349	-9.55768296608	2580.0	23	59340.0
4932.YGL114W	725.0	-2.846283981	128.164137931	-13.2430962119	3625.0	17	61625.0
4932.YGL115W	322.0	-2.80552997131	124.465838509	-9.17225414924	1610.0	-126	-202860.0
4932.YGL119W	501.0	-2.85503148809	135.646706587	-10.6978248275	2505.0	25	62625.0
4932.YGL120C	767.0	-2.87423892379	131.067796611	-7.87931859077	3835.0	32	122720.0
4932.YGL122C	525.0	-2.8420589733	142.16	-7.95689252215	2625.0	44	115500.0
4932.YGL125W	600.0	-2.90972086585	152.281666667	-10.3971232275	3000.0	54	162000.0
4932.YGL127C	127.0	-2.81661426592	158.133858268	-11.6425322153	635.0	911	578485.0
4932.YGL128C	283.0	-2.79282993595	147.706713781	-12.8355962256	1415.0	46	65090.0
4932.YGL129C	488.0	-2.8193387781	135.530737705	-9.80232256887	2440.0	69	168360.0
4932.YGL130W	459.0	-2.88856572796	145.612200435	-10.3708025382	2295.0	3	6885.0
4932.YGL131C	1403.0	-2.90680923391	166.579472558	-13.9594351918	7015.0	158	1108370.0
4932.YGL133W	1264.0	-2.84933739548	138.363924051	-9.70914961893	6320.0	116	733120.0
4932.YGL135W	217.0	-2.78311100239	137.820276498	-6.23259189699	1085.0	69	74865.0
4932.YGL137W	889.0	-2.8566990656	131.83239595	-6.96559191077	4445.0	53	235585.0
4932.YGL140C	1219.0	-2.88962668223	137.964725185	-10.0206290955	6095.0	22	134090.0
4932.YGL141W	910.0	-2.83064340169	138.531868132	-11.9262440512	4550.0	28	127400.0
4932.YGL144C	685.0	-2.8690057212	133.366423358	-13.156778786	3425.0	3	10275.0
4932.YGL145W	701.0	-2.80069564339	138.098430813	-10.1073415117	3505.0	40	140200.0
4932.YGL147C	191.0	-2.76919800882	127.994764398	-6.85353335272	955.0	53	50615.0
4932.YGL148W	376.0	-2.8522489804	120.765957447	-8.01174686225	1880.0	69	129720.0
4932.YGL150C	1489.0	-2.83851504369	139.826729349	-8.80906475215	7445.0	88	655160.0
4932.YGL151W	1132.0	-2.79839816966	129.919611307	-9.25477309659	5660.0	-496	-2807360.0
4932.YGL153W	341.0	-2.77686248335	126.293255132	-10.5825970025	1705.0	66	112530.0
4932.YGL155W	376.0	-2.89197550201	166.521276596	-11.0040581928	1880.0	7806	14675280.0
4932.YGL156W	1083.0	-2.918029438	154.379501385	-11.6104362547	5415.0	52	281580.0
4932.YGL157W	347.0	-2.82899239146	137.590778098	-8.99138293501	1735.0	56	97160.0
4932.YGL159W	370.0	-2.79463359633	143.024324324	-13.52453891	1850.0	62	114700.0
4932.YGL161C	310.0	-2.85725932501	132.2	-13.2986204708	1550.0	9	13950.0
4932.YGL164C	440.0	-2.71899824485	117.459090909	-10.8159790728	2200.0	59	129800.0
4932.YGL166W	225.0	-2.83564444823	150.8	-11.5737654211	1125.0	23	25875.0
4932.YGL167C	950.0	-2.83103603895	124.602105263	-7.8045401811	4750.0	57	270750.0
4932.YGL169W	426.0	-2.81763851246	116.035211268	-10.9526181718	2130.0	26	55380.0
4932.YGL172W	472.0	-2.67237537401	105.688559322	-9.47269876107	2360.0	51	120360.0
4932.YGL173C	1528.0	-2.87330035722	138.34947644	-6.8476841214	7640.0	81	618840.0
4932.YGL180W	897.0	-2.84551821698	136.391304347	-11.6402195734	4485.0	47	210795.0
4932.YGL181W	396.0	-2.82491800967	134.348484849	-10.2090008929	1980.0	63	124740.0
4932.YGL184C	465.0	-2.8580385504	138.389247312	-11.6132886629	2325.0	2	4650.0
4932.YGL185C	379.0	-2.8736370541	147.390501319	-13.1441833228	1895.0	52	98540.0
4932.YGL190C	526.0	-2.84468311401	142.372623575	-10.0851376921	2630.0	80	210400.0
4932.YGL195W	2672.0	-2.80361228387	114.842814371	-6.29856106742	13360.0	17	227120.0
4932.YGL200C	203.0	-2.85641556565	136.280788178	-8.72307614135	1015.0	-152	-154280.0
4932.YGL201C	1017.0	-2.85759950724	122.239921337	-8.98318881845	5085.0	21	106785.0
4932.YGL202W	500.0	-2.87161166605	133.57	-6.89711447335	2500.0	59	147500.0
4932.YGL203C	729.0	-2.82565446473	140.989026063	-8.90079697978	3645.0	51	185895.0
4932.YGL206C	1653.0	-2.8337684115	128.207501512	-6.05395738213	8265.0	102	843030.0
4932.YGL207W	1035.0	-2.8393629957	129.293719806	-7.43719843604	5175.0	26	134550.0
4932.YGL211W	359.0	-2.86369041494	142.442896936	-11.1710727351	1795.0	-292	-524140.0
4932.YGL213C	397.0	-2.85441343619	151.355163728	-10.2696493638	1985.0	258	512130.0
4932.YGL220W	120.0	-2.85578700019	160.116666667	-10.3121804428	600.0	45	27000.0
4932.YGL221C	288.0	-2.871855242	145.28125	-9.79744153224	1440.0	161	231840.0
4932.YGL223C	417.0	-2.73079905831	136.726618705	-10.7464991659	2085.0	41	85485.0
4932.YGL225W	337.0	-2.78159395858	136.183976262	-8.12505320816	1685.0	29	48865.0
4932.YGL227W	958.0	-2.81542582752	130.035490605	-10.6639425634	4790.0	62	296980.0
4932.YGL228W	577.0	-2.83728239936	144.571923743	-9.66054864512	2885.0	230	663550.0
4932.YGL229C	818.0	-2.83730249851	142.293398533	-10.1668388721	4090.0	39	159510.0
4932.YGL231C	190.0	-2.83349730301	149.136842105	-10.9287130941	950.0	17	16150.0
4932.YGL232W	289.0	-2.81435331911	146.858131488	-11.0052761206	1445.0	103	148835.0
4932.YGL233W	910.0	-2.80760906172	131.607692308	-10.388418159	4550.0	43	195650.0
4932.YGL234W	802.0	-2.83969524821	116.096009975	-6.44733312387	4010.0	162	649620.0
4932.YGL238W	960.0	-2.80294294234	120.864583333	-8.33785373266	4800.0	141	676800.0
4932.YGL240W	250.0	-2.90555920945	151.94	-12.9902805941	1250.0	17	21250.0
4932.YGL241W	1004.0	-2.80384919131	128.064741036	-11.0301998616	5020.0	32	160640.0
4932.YGL244W	558.0	-2.77477940044	136.419354839	-8.99840194404	2790.0	23	64170.0
4932.YGL245W	708.0	-2.86325012705	142.718926554	-6.31829180422	3540.0	53	187620.0
4932.YGL246C	387.0	-2.85260902686	137.826873385	-10.2952690247	1935.0	82	158670.0
4932.YGL248W	369.0	-2.86243554026	140.344173442	-12.5532345465	1845.0	95	175275.0
4932.YGL252C	588.0	-2.86038208389	130.00170068	-9.1120764806	2940.0	69	202860.0
4932.YGL255W	376.0	-2.85870550391	142.151595744	-11.6659519506	1880.0	33	62040.0
4932.YGL256W	382.0	-2.81566958738	128.068062827	-12.0856387966	1910.0	-1042	-1990220.0
4932.YGR001C	248.0	-2.8333782078	145.576612903	-9.33683305554	1240.0	51	63240.0
4932.YGR002C	476.0	-2.80045588947	138.430672269	-10.6754050089	2380.0	48	114240.0
4932.YGR003W	744.0	-2.8360159149	145.650537634	-11.8185022423	3720.0	19	70680.0
4932.YGR005C	400.0	-2.81572595927	140.8275	-11.6552186435	2000.0	-244	-488000.0
4932.YGR007W	323.0	-2.90247185296	164.018575852	-10.2544776069	1615.0	173	279395.0
4932.YGR008C	84.0	-2.75436323692	152.416666667	-10.0723510251	420.0	75	31500.0
4932.YGR010W	395.0	-2.88795046313	138.491139241	-11.7938201759	1975.0	65	128375.0
4932.YGR012W	393.0	-2.84807060715	131.628498728	-10.4778481505	1965.0	-373	-732945.0
4932.YGR013W	620.0	-2.77912520564	129.688709677	-13.0779705727	3100.0	73	226300.0
4932.YGR014W	1306.0	-2.47690234845	98.9578866768	-8.52191745817	6530.0	38	248140.0
4932.YGR017W	297.0	-2.86583898101	156.138047138	-10.5971075615	1485.0	180	267300.0
4932.YGR019W	471.0	-2.87518063788	139.403397028	-8.89867612971	2355.0	67	157785.0
4932.YGR020C	118.0	-2.74759999841	114.788135593	-9.15366925811	590.0	49	28910.0
4932.YGR024C	237.0	-2.86326923766	157.835443037	-11.5094509699	1185.0	-653	-773805.0
4932.YGR027C	108.0	-2.63086367446	132.074074074	-7.11294692078	540.0	82	44280.0
4932.YGR028W	362.0	-2.78872702693	122.220994475	-11.726616405	1810.0	36	65160.0
4932.YGR030C	158.0	-2.7714959704	142.784810127	-11.3765985794	790.0	27	21330.0
4932.YGR031W	342.0	-2.88247039034	137.69883041	-10.4149270007	1710.0	-1024	-1751040.0
4932.YGR033C	239.0	-2.83150908308	138.414225941	-11.6489466579	1195.0	26	31070.0
4932.YGR034W	127.0	-2.66273215547	112.307086614	-7.34558743368	635.0	-120	-76200.0
4932.YGR037C	87.0	-2.7023566227	142.701149425	-8.18366944341	435.0	-164	-71340.0
4932.YGR038W	222.0	-2.88092380595	145.157657658	-10.829240276	1110.0	151	167610.0
4932.YGR040W	368.0	-2.89477679312	153.279891304	-9.44756888798	1840.0	83	152720.0
4932.YGR043C	333.0	-2.80768417981	128.735735736	-10.8539780999	1665.0	61	101565.0
4932.YGR047C	1025.0	-2.83641974225	138.781463415	-10.9158771214	5125.0	23	117875.0
4932.YGR048W	361.0	-2.80897394047	119.299168975	-10.2319924398	1805.0	70	126350.0
4932.YGR049W	187.0	-2.83025335121	144.935828877	-13.4039168441	935.0	29	27115.0
4932.YGR055W	574.0	-2.83078718354	131.285714286	-7.91091909461	2870.0	35	100450.0
4932.YGR056W	928.0	-2.87043474058	137.648706897	-10.9721857358	4640.0	32	148480.0
4932.YGR060W	309.0	-2.91942439234	186.915857605	-7.98577188228	1545.0	-646	-998070.0
4932.YGR061C	1358.0	-2.87946696173	128.804860088	-6.00985811462	6790.0	33	224070.0
4932.YGR067C	794.0	-2.83824032649	147.920654912	-12.9529795314	3970.0	-250	-992500.0
4932.YGR068C	586.0	-2.85001837445	129.646757679	-12.4489957327	2930.0	25	73250.0
4932.YGR071C	860.0	-2.76318743943	138.119767442	-11.4507479677	4300.0	38	163400.0
4932.YGR072W	387.0	-2.72123613981	143.118863049	-10.7737132373	1935.0	33	63855.0
4932.YGR074W	146.0	-2.6948819208	111.609589041	-10.7939106567	730.0	128	93440.0
4932.YGR076C	157.0	-2.7258268721	151.617834395	-11.4658714445	785.0	64	50240.0
4932.YGR078C	199.0	-2.81726888618	136.979899497	-9.3324684009	995.0	38	37810.0
4932.YGR080W	332.0	-2.80186254523	117.259036145	-10.1433070638	1660.0	150	249000.0
4932.YGR081C	210.0	-2.71663571354	121.009523809	-10.4719013453	1050.0	109	114450.0
4932.YGR082W	183.0	-2.77214259987	110.661202186	-9.48590761455	915.0	-998	-913170.0
4932.YGR084C	339.0	-2.84811728107	135.769911504	-9.54727501525	1695.0	82	138990.0
4932.YGR085C	174.0	-2.83157308257	128.695402299	-7.1820393127	870.0	-77	-66990.0
4932.YGR086C	339.0	-2.76395389199	112.525073746	-7.17158038854	1695.0	113	191535.0
4932.YGR088W	562.0	-2.91127044743	148.202846975	-10.2985844981	2810.0	33	92730.0
4932.YGR089W	936.0	-2.79363565207	134.771367521	-12.3081272929	4680.0	16	74880.0
4932.YGR090W	1237.0	-2.83713366731	133.57396928	-8.06596002006	6185.0	13266	82050210.0
4932.YGR092W	572.0	-2.88502947402	142.113636364	-9.82820331642	2860.0	11	31460.0
4932.YGR093W	507.0	-2.86163204314	141.806706115	-12.2259766035	2535.0	70	177450.0
4932.YGR094W	1104.0	-2.875212882	145.027173913	-6.05584450003	5520.0	68	375360.0
4932.YGR095C	223.0	-2.76799258064	118.067264574	-10.57083793	1115.0	101	112615.0
4932.YGR097W	1146.0	-2.84129851357	134.376963351	-10.7909947298	5730.0	29	166170.0
4932.YGR099W	688.0	-2.8265235661	129.154069767	-13.7173377074	3440.0	248	853120.0
4932.YGR100W	950.0	-2.87340335408	135.496842105	-11.8482732687	4750.0	106	503500.0
4932.YGR104C	307.0	-2.83103040953	130.615635179	-11.9449858019	1535.0	124	190340.0
4932.YGR106C	265.0	-2.71152471179	132.350943396	-8.7248505375	1325.0	39	51675.0
4932.YGR108W	471.0	-2.85854681146	149.462845011	-12.9105498534	2355.0	14	32970.0
4932.YGR111W	400.0	-2.88702921748	158.617499999	-11.0401038644	2000.0	108	216000.0
4932.YGR112W	389.0	-2.90385510729	153.758354756	-11.6948655304	1945.0	29	56405.0
4932.YGR116W	1451.0	-2.83592682639	134.052377671	-7.6094592145	7255.0	36	261180.0
4932.YGR117C	476.0	-2.83161387002	137.619747899	-10.710222972	2380.0	5	11900.0
4932.YGR118W	145.0	-2.69849261715	129.544827586	-7.38870058767	725.0	265	192125.0
4932.YGR119C	541.0	-2.6904646679	113.369685767	-9.03973669626	2705.0	14	37870.0
4932.YGR120C	262.0	-2.72249312452	132.599236641	-11.0384760295	1310.0	158	206980.0
4932.YGR121C	492.0	-2.86817092898	146.961382114	-10.8638616	2460.0	36	88560.0
4932.YGR123C	513.0	-2.87011015051	140.450292398	-8.94021178184	2565.0	125	320625.0
4932.YGR124W	572.0	-2.90125531449	148.708041958	-6.46025760754	2860.0	41	117260.0
4932.YGR128C	713.0	-2.79557182272	128.322580645	-8.09299366981	3565.0	80	285200.0
4932.YGR130C	816.0	-2.70780355709	124.735294118	-8.04632895513	4080.0	44	179520.0
4932.YGR132C	287.0	-2.77790165784	105.745644599	-9.6251136341	1435.0	27	38745.0
4932.YGR133W	183.0	-2.88418790714	163.661202186	-12.1719721791	915.0	82	75030.0
4932.YGR134W	1122.0	-2.85705450956	140.345811052	-12.7738478217	5610.0	10	56100.0
4932.YGR135W	258.0	-2.77933558014	121.403100775	-8.62047643527	1290.0	47	60630.0
4932.YGR138C	614.0	-2.87378674591	139.563517915	-9.66638871337	3070.0	26	79820.0
4932.YGR140W	956.0	-2.85726492656	146.972803347	-11.40290869	4780.0	101	482780.0
4932.YGR143W	771.0	-2.86170711708	141.060959792	-12.0424876075	3855.0	3	11565.0
4932.YGR147C	288.0	-2.86869283339	141.666666666	-10.5360402414	1440.0	114	164160.0
4932.YGR148C	155.0	-2.62309172891	121.716129032	-6.7546488548	775.0	54	41850.0
4932.YGR149W	432.0	-2.8735110246	168.168981481	-12.6192114912	2160.0	38	82080.0
4932.YGR150C	864.0	-2.86608374496	153.467592592	-12.4490580482	4320.0	23	99360.0
4932.YGR152C	272.0	-2.80452663034	122.488970588	-10.5642779248	1360.0	11	14960.0
4932.YGR156W	425.0	-2.77188681507	115.423529412	-10.3644731636	2125.0	77	163625.0
4932.YGR157W	869.0	-2.87104963365	152.82853855	-8.37837646766	4345.0	43	186835.0
4932.YGR158C	250.0	-2.85799370767	132.424	-10.2331884388	1250.0	38	47500.0
4932.YGR159C	414.0	-2.58350893839	107.995169082	-7.01340924895	2070.0	-258	-534060.0
4932.YGR162W	952.0	-2.81339202828	125.282563025	-6.79919045613	4760.0	42	199920.0
4932.YGR163W	341.0	-2.82749318931	129.357771261	-10.8062260047	1705.0	37	63085.0
4932.YGR165W	345.0	-2.85068737607	133.379710145	-10.2873934724	1725.0	48	82800.0
4932.YGR167W	233.0	-2.68032871472	118.42918455	-9.1539570638	1165.0	23	26795.0
4932.YGR169C	404.0	-2.89341704761	147.918316832	-12.8300784645	2020.0	86	173720.0
4932.YGR171C	575.0	-2.89446848024	150.747826088	-12.6729622373	2875.0	69	198375.0
4932.YGR173W	368.0	-2.84629229432	132.296195652	-8.35750092166	1840.0	150	276000.0
4932.YGR174C	170.0	-2.82232290147	153.082352941	-12.6383141424	850.0	759	645150.0
4932.YGR175C	496.0	-2.86348104302	128.20766129	-7.19433660035	2480.0	40	99200.0
4932.YGR177C	535.0	-2.88804288635	146.022429906	-11.134582315	2675.0	118	315650.0
4932.YGR178C	722.0	-2.83352249478	131.013850415	-8.87097296315	3610.0	-780	-2815800.0
4932.YGR179C	406.0	-2.79241766686	139.965517241	-11.9896132804	2030.0	30	60900.0
4932.YGR180C	345.0	-2.84508022759	147.298550725	-6.48410729231	1725.0	372	641700.0
4932.YGR183C	66.0	-2.70724984954	145.212121212	-11.3869972931	330.0	2048	675840.0
4932.YGR185C	394.0	-2.82638150571	126.296954315	-7.36065339928	1970.0	121	238370.0
4932.YGR186W	735.0	-2.79983246744	122.489795918	-9.59716717675	3675.0	290	1065750.0
4932.YGR187C	394.0	-2.80264920739	129.807106599	-8.81886846208	1970.0	47	92590.0
4932.YGR188C	1021.0	-2.86784040503	137.868756122	-12.3605517522	5105.0	22	112310.0
4932.YGR189C	507.0	-2.61086889201	115.966469428	-9.75338569298	2535.0	31	78585.0
4932.YGR191W	603.0	-2.8394720448	130.527363184	-8.24889039051	3015.0	23	69345.0
4932.YGR193C	410.0	-2.78541741696	120.11707317	-10.144944379	2050.0	46	94300.0
4932.YGR194C	600.0	-2.90181513737	150.301666666	-10.7711278099	3000.0	50	150000.0
4932.YGR195W	246.0	-2.78430892438	120.548780488	-10.354046983	1230.0	-308	-378840.0
4932.YGR196C	817.0	-2.7342946745	126.859241126	-12.1114911988	4085.0	26	106210.0
4932.YGR198W	817.0	-2.83754264448	146.041615667	-11.6205149813	4085.0	16	65360.0
4932.YGR200C	788.0	-2.89303981715	151.637055838	-8.78131098799	3940.0	73	287620.0
4932.YGR202C	424.0	-2.80312236294	138.577830189	-9.96703120543	2120.0	26	55120.0
4932.YGR203W	148.0	-2.84492844494	164.601351352	-11.1958109939	740.0	70	51800.0
4932.YGR204W	946.0	-2.8366630924	114.519027484	-6.10929581771	4730.0	86	406780.0
4932.YGR205W	290.0	-2.85779707608	147.289655173	-10.307657366	1450.0	472	684400.0
4932.YGR207C	261.0	-2.74488642943	116.934865901	-9.1869867195	1305.0	-441	-575505.0
4932.YGR208W	309.0	-2.8217869719	134.553398058	-8.8055128945	1545.0	59	91155.0
4932.YGR210C	411.0	-2.84485610968	127.527980535	-9.72795081535	2055.0	209	429495.0
4932.YGR211W	486.0	-2.8847674777	141.944444444	-7.80496605375	2430.0	13	31590.0
4932.YGR214W	252.0	-2.80310545607	116.384920635	-7.39223932975	1260.0	-324	-408240.0
4932.YGR218W	1084.0	-2.86135198219	136.209409594	-7.96439251274	5420.0	51	276420.0
4932.YGR222W	293.0	-2.79756608244	142.679180887	-13.7154675019	1465.0	89	130385.0
4932.YGR229C	505.0	-2.84586378855	135.691089109	-8.41145015888	2525.0	39	98475.0
4932.YGR231C	310.0	-2.79938325179	107.05483871	-10.2890710985	1550.0	39	60450.0
4932.YGR232W	228.0	-2.84055892766	149.921052632	-10.8033768799	1140.0	-112	-127680.0
4932.YGR233C	1178.0	-2.81854247843	133.483870967	-9.79584251963	5890.0	41	241490.0
4932.YGR234W	399.0	-2.86619071706	138.260651629	-6.76497752046	1995.0	83	165585.0
4932.YGR235C	233.0	-2.885816386	144.944206009	-10.5251591269	1165.0	85	99025.0
4932.YGR237C	785.0	-2.82032511505	137.317197452	-12.5004251231	3925.0	41	160925.0
4932.YGR238C	882.0	-2.85031662474	138.969387756	-12.7464857062	4410.0	39	171990.0
4932.YGR241C	568.0	-2.81330578742	130.725352113	-9.71134229833	2840.0	365	1036600.0
4932.YGR245C	767.0	-2.83852349332	133.782268579	-10.1718434581	3835.0	55	210925.0
4932.YGR246C	596.0	-2.82871319079	130.629194631	-11.2691321349	2980.0	26	77480.0
4932.YGR248W	255.0	-2.87919503896	140.403921569	-10.5501991657	1275.0	-72	-91800.0
4932.YGR250C	781.0	-2.86704537779	144.112676056	-9.47295809361	3905.0	24	93720.0
4932.YGR251W	196.0	-2.69343505434	137.091836734	-11.8587853368	980.0	61	59780.0
4932.YGR252W	439.0	-2.87094801397	143.173120729	-10.8276694937	2195.0	44	96580.0
4932.YGR253C	260.0	-2.78392760357	120.126923077	-7.99380653938	1300.0	-198	-257400.0
4932.YGR255C	479.0	-2.85138998454	130.346555323	-9.92057660749	2395.0	184	440680.0
4932.YGR260W	534.0	-2.89036978291	146.870786517	-9.39957090344	2670.0	31	82770.0
4932.YGR261C	809.0	-2.84065630226	135.369592089	-9.23115036381	4045.0	54	218430.0
4932.YGR262C	261.0	-2.89076747615	148.616858238	-10.9560653622	1305.0	-142	-185310.0
4932.YGR263C	424.0	-2.92579742897	154.889150943	-14.2009463667	2120.0	26	55120.0
4932.YGR264C	751.0	-2.88763414936	148.065246338	-6.74122178863	3755.0	65	244075.0
4932.YGR266W	701.0	-2.91655244328	161.249643367	-9.73287063048	3505.0	30	105150.0
4932.YGR268C	198.0	-2.82706170742	159.419191919	-11.9726766996	990.0	42	41580.0
4932.YGR270W	1379.0	-2.82792963192	122.969543147	-10.8350914554	6895.0	893	6157235.0
4932.YGR271C-A	233.0	-2.72006787599	128.296137339	-10.4124931684	1165.0	-593	-690845.0
4932.YGR271W	1967.0	-2.89316345422	139.546517539	-10.8145559233	9835.0	48	472080.0
4932.YGR275W	157.0	-2.82831918647	142.828025477	-10.2668525997	785.0	-1111	-872135.0
4932.YGR277C	305.0	-2.86370049858	141.049180328	-11.7816081672	1525.0	-587	-895175.0
4932.YGR278W	577.0	-2.82271571523	136.596187175	-11.5020883022	2885.0	63	181755.0
4932.YGR279C	386.0	-2.72273951859	118.002590674	-8.56466760092	1930.0	23	44390.0
4932.YGR280C	271.0	-2.68260898772	157.660516605	-9.60424587277	1355.0	110	149050.0
4932.YGR281W	1477.0	-2.87157750978	133.469871361	-9.04377398572	7385.0	65	480025.0
4932.YGR282C	313.0	-2.80973513645	139.329073482	-8.45566750098	1565.0	27	42255.0
4932.YGR283C	341.0	-2.8530953584	145.753665689	-12.2177183427	1705.0	40	68200.0
4932.YGR284C	310.0	-2.80162384538	137.480645161	-9.04887007974	1550.0	46	71300.0
4932.YGR285C	433.0	-2.73615433058	127.872979214	-6.6122319581	2165.0	107	231655.0
4932.YGR286C	375.0	-2.88079506652	157.445333334	-12.7076329347	1875.0	31	58125.0
4932.YHL001W	138.0	-2.6782654798	124.594202899	-7.33877237648	690.0	163	112470.0
